"Sr No","Blood Bank Name",State,District,City,Address,Pincode,"Contact No",Mobile,Helpline,Fax,Email,Website
2223,"Government Villupuram Medical College and Hospital Blood Bank","Tamil Nadu",VILLUPURAM,Villupuram,"Government  Villupuram Medical College and Hospital, Mundiyambakkam, Villupuram",605601,"04146 232101",9750385117,N/A,N/A,villupurambs19@yahoo.co.in,http://www.vmcvpm.ac.in
2224,"GN Blood Bank","Tamil Nadu",VILLUPURAM,Villupuram," Run by GG Educational and Charitable Trust, 7-C, Chairman Chidambaram Street, Villupuram",605602,"04146 225545",9443481222,N/A,N/A,gnbloodbank@gmail.com,
2225,"Government Hospital Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Aruppukottai,"Pandalkudi Road, Near Vellai Kottai, Aruppukottai
",626101,"04566 220264",99442,N/A,N/A,,
2226,"Government Hospital Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Rajapalayam,"Government Hospital",626117,"04563 221301",9787200368,N/A,N/A,rjpmghbb@gmail.com,
2227,"Sai Blood Bank and Clinical Laboratory","Tamil Nadu",VIRUDHUNAGAR,Rajapalayam,"No, 114 Chidambaranar Street, Sankaran Koil Road",626117,"04563 230516, 04563 221516",9600674712,N/A,N/A,sairjpm@gmail.com,
2228,"Sri PAC Ramasamy Raja Rotary Blood Bank (Run by Rajapalayam rotary)","Tamil Nadu",VIRUDHUNAGAR,Rajapalayam,"Old No :1069, New No : 170, Madurai to Tenkasi Road",626117,"04563 226625",9940166945,,,,
2229,"Government Hospital Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Sivakasi,"Government Hospital, Parasakthi colony, Near Sivakasi railway station, Shield Road",626123,"04562 220301",9486496169,N/A,N/A,,
2230,"Sri Annai Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Sivakasi,"Run by Nestle Foundation Trust, S.No. 49/8B 49/8C ward E Block No. 6., Door No. 56 J2 Chairman A. Shanmuga Nadar Road",626123,"04562 222956",7373796390,N/A,N/A,,
2231,"Virudhunagar Hindu Nadar V Dhanasamy Parimala Devi Medical Trust Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Virudhunagar,"No, 38 North Car Street",626001,"04562 243060, 04562 245607, 04562 244282",9043013213,9842653592,N/A,N/A,
2232,"Government Head Quarters Hospital Blood Bank","Tamil Nadu",VIRUDHUNAGAR,Virudhunagar,"Government Head Quarters Hospital, Ramamoorthy Road, Virudhunagar",626001,"04562 244425",9842261613,18004251303,"04562 246030 (Health Insurance Office)",vnrghbb@gmail.com,
2233,"Rajiv Gandhi Institute of Medical Sciences Blood Bank",Telangana,ADILABAD,Adilabad,"Teachers Colony, Near State Bank of Hyderabad, Ground Floor, IP Block, Govt. District Head Quarters Hopsital Premises",504001,8732224108,9849905223,,,"surya111199@yahoo.com, bbrimsadb@gmail.com",
2234,"Sri Lakshmi Blood bank",Telangana,ADILABAD,Adilabad,"D.No.4-5-29/5, Sri Sai Maternity Hospital, Near Rly. Gate, Bhokthapur",504001,8732230777,0,,,prakash_gangishetty@yahoo.com,
2235,"Indian Red Cross Society Blood Bank",Telangana,ADILABAD,Mancherial," Ground Floor, Area Hospital, I.B Chaurastha",504208,"08736259259, 08736252259",7036222259,,,ircsbbmncl@yahoo.com,http://www.indianredcrossmancherial.org
2236,"Singareni Collieries Co. Ltd Blood bank",Telangana,ADILABAD,Mandamarri,"Sector-1, Area Hospital, Ramakrishnapur, Mandamarri (M), Bellampalli",504301,"08736-228677 ext No -328",9491144185,,,med_srp@scclmines.com,
2237,"Indian Red Cross Society Blood Bank",Telangana,ADILABAD,Nirmal,"Area Hospital, Gajulpet Road
near A1 Function Hall",504106,9440387455,8790988499,,,bloodbanknirmal@gmail.com,
2238,"The Singareni Collieries Co. Ltd",Telangana,ADILABAD,"R.K puram","Area Hospital Blood Bank, Ramakrishnapuram",504001,"08736 228677",9491344418,N/A,N/A,,
2239,"Prime Hospital Blood Bank",Telangana,HYDERABAD,Ameerpet,"Plot No.4, Behind Mythrivanam Building, Ameerpet",0,"040 44569973",0,,,bloodbank.primehospital@gmail.com,
2240,"Image Hospital Blood Bank ",Telangana,HYDERABAD,Ameerpet,"A Division of Image Healthcare Limited,1st Floor, Image House, 8-3-903/F/12&1, Ameerpet",0,"040 23755555",0,,,,
2241,"Challa Hospital Blood Bank (A Multi Speciality Hospital)",Telangana,HYDERABAD,Ameerpet,"D.No. 7-1-71/A/1, 1st Floor, Dharam Karam Road, Ameerpet",500016,"040 23731215",0,NA,NA,challahosp.bloodbank@gmail.com,
2242,"Aarohi Blood Bank",Telangana,HYDERABAD,"Banjara Hills","No.6-3-182/1 to 3, 3rd Floor, 
Lake View Palace, 
Road No.1, Banjara Hills
",500034,"040 23384212	",8106999686,NA,NA,aarohibloodbank@gmail.com,www.aarohibloodbank.org
2243,"Institute of Transfusion Medicine and Research",Telangana,HYDERABAD,"Banjara Hills","Road.No.1, Banjara Hills",500034,"040 23328956",9866098101,N/A,N/A,info@itmrbloodbank.org,
2244,"NTR Trust Blood Bank",Telangana,HYDERABAD,"Banjara Hills","D.No. 8-2-269/H/191/A/1, NTR Trust Bhavan, Road No. 2, Banjara Hills
",500034,"040 30799999",9963474040,N/A,N/A,"admin@ntrtrust.org	",http://www.ntrtrust.org
2245,"Care Hospital Blood Bank",Telangana,HYDERABAD,"Banjara Hills","1st Floor, Road No.1, Banjara Hills",500004,"040 30418296",0,NA,NA,cbeveryone@carehospitals.com,
2246," Star Hospitals Blood Bank",Telangana,HYDERABAD,"Banjara Hills"," A unit of Unimed Healthcare Private Limited, 6th floor,8-2-596/ Road No : 10, Banjara Hills",500034,"040 44777777 EXT: 603",0,"040 4477 7777","040 2335 6788",bloodbank@starhospitals.in,http://www.starhospitals.com
2247,"Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank",Telangana,HYDERABAD,"Banjara Hills","Block.No. III, Cellar Portion,Road No.14, Banjara Hills",500034,"040 23551235",0,,,,
2248,"Mythri Charitable Trust Blood Bank and Transfusion Centre",Telangana,HYDERABAD,Barkatpura,"3-4-808 1st Floor, Barkatpura, Bs C C Shroff Hospital, Barkatpura, Hyderabad, Telangana
",500027,"040 27550238, 040 66822271",0,NA,NA,my3.trustbloodbank@gmail.com,http://www.mythribloodbank.org
2249,"Sanjeevini Blood Bank",Telangana,HYDERABAD,Bhagyanagar,"Sanjeevini Non-Governmental Organisation, Niveditha Orthopaedic Center, H.No.1-1-79/A, RTC Cross Road, Bhagyanagar, Hyderabad",500020,"040 27667500, 040 65522343",0,NA,NA,sanjeevini_bloodbank@yahoo.com,
2250,"Sai Vani Super Speciality Hospital Blood Bank ",Telangana,HYDERABAD,Domalguda,"A Unit of Viswa Health Institute Private Limited, D.No.1-2-365/36/6&7, 6th Floor, Ramakrishna Math Road, Domalguda, Hyderabad",0,,8978021111,,,,
2251,"The Military Hospital Blood Bank",Telangana,HYDERABAD,Golconda,"Military Hospital Premises, Golconda",0,"040 27792580",0,,,,
2252,"Rudhira Voluntary Blood Bank",Telangana,HYDERABAD,Himayathnagar," H.No.3-6-10/A,1st floor, Anasuya Commercial Complex, Liberty Road, Himayathnagar",500028,"040 23220222",0,NA,NA,rudhiravoluntarybloodbank@gmail.com,
2253,"Satya Nursing Home Blood Bank",Telangana,HYDERABAD,Himayatnagar,"D.No. 3-6-426, First Floor, Street No. 4, Himayatnagar, Hyderabad, Hyderabad District, Telangana
",500029,"040 66753026",9666699889,NA,NA,satyakidney@rediffmail.com,
2254,"Nizams Institute of Medical Sciences Blood Bank",Telangana,HYDERABAD,Hyderabad,"Accident and Emergency Block, 2nd Floor, Road.No.1, Banjara Hills",500034,"040 23489722",0,N/A,,"nimsdtm@gmail.com,doctormaheshgoud@gmail.com",
2255,"The Osmania General Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad," Osmania General Hospital Premises, Hyderabad",500012,"040 24600146",9849546995,N/A,N/A,bloodbank.ogh@gmail.com,
2256,"MNJ  Institute of Oncology and Regional Cancer Centre Blood Bank",Telangana,HYDERABAD,Hyderabad,"Ground Floor, Lakdikapool, Red Hills
",500004,"040 23397000, 040 23318424",9949929429,NA,"040 23314063",mnjiorcc@yahoo.comdirmnjiorcc@yahoo.com,
2257,"General Chest Hospital",Telangana,HYDERABAD,Hyderabad,"Blood Bank Medical Officer,  Blood Bank, General and Chest Hospital, Irrumnuma, Hyderabad",500018,040-23814939,9848445380,N/A,N/A,,
2258,"Lions Club of Hyderabad(East) Bhanji Kheraj Blood Bank",Telangana,HYDERABAD,Hyderabad,"Feroz Gandhi Park,  Bank Street, Koti, Hyderabad",500195,"040 24745243",0,N/A,N/A,lionsbhanjikherajbloodbank@gmail.com,
2259,"Blood Bank Thelasemia and Sickle Cell",Telangana,HYDERABAD,Hyderabad,"Blood Bank Medical Officer, Blood Bank Thelasemia and Sick Cell, Hyderabad",500002,N/A,9391029400,N/A,N/A,"tscsap@gmail.com, tscsbb@gmail.com.",
2260,"Andhra Mahila Sabha Durgabhai Deshmukh Hospital & Blood Bank",Telangana,HYDERABAD,Hyderabad,"Osmania University Road, Ram Nagar Gundu, Adikmet, Hyderabad, Telangana 
",500044,"040 27656969, 040 27681158",0,NA,NA,ddhbloodbank@gmail.com,http://www.amsdd.org.in
2261,"Share Medical Care (Mediciti Hospital) Blood Bank",Telangana,HYDERABAD,Hyderabad,"D.No. 5-9-22/B/103, Flat No.103, First Floor, My Home Sarovar Complex, Secretariat Road",0,"040 23231111",0,NA,NA,info@medicitihospitals.com,
2262,"Mahavir Hospital and Research Centre Blood Bank",Telangana,HYDERABAD,Hyderabad,"D.No. 10-1-1, Ground Floor, Bhagwan Mahavir Marg, A.C. Guards, Masab Tank",0,"040 23497377",0,,,,
2263,"Aditya Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad,"4-3-154/3, Beside Pragati College, Hanuman Tekdi, Abids, Hyderabad.
",500001,"040 24763565",9885642579,040-41424344,040-24754117,adityahospitalbloodbank2010@gmail.com,http://www.adityahospital.com
2264,"Himabindhu Multispeciality Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad,"H.No. 17-1-383/1/1, 1st Floor, Vinay Nagar, Sagar Road, Santhosh Nagar",500059,"040 64558828  ",7097097990,NA,NA,himabindubloodbank@gmail.com,
2265,"Genetic Products Charitable Association Blood Bank",Telangana,HYDERABAD,Hyderabad,"D.No. 6-3-663/915, G-Block, Ground Floor, Kanthi Shikara Complex, Punjagutta",500082,"040 23411658, 040 23403882",0,,,,
2266,"Thalassemia and Sickle Cell Society Vuppala Venkaiah Memorial Blood Bank",Telangana,HYDERABAD,Hyderabad,"D.No.22-8-496 to 501, 1st and 2nd floor, Chatta Bazar X Road, Near City Civil Courts, Purana Haveli, Hyderabad
",500002,"040 24403783",0,NA,"040 24520159",tscsbb@gmail.com,http://www.tscs.in
2267,"NEW LIFE EDUCATIONAL SOCIETY BLOOD BANK ",Telangana,HYDERABAD,HYDERABAD,"22-1-1038,1st FLOOR,ABID ALI KHAN LIONS EYE HOSPITAL,DARULSHIFA, Hyderabad, TELANGANA",500024,"040 24575757, 040 64558864",9948495035,NA,NA,newlifeeducationalsocietybloodbank@gmail.com,
2268,"Apollo Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad,"Apollo hospital, Ground floor, Jubilee hills, Hyderabad
",500096,"040 23607777, Ext: 2604",4023607777,NA,NA,NA,http://www.apollohospitals.com
2269,"Employees State Insurance Corporation Medical College Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad,"Second Floor, Radiology Block, Sanath nagar, Hyderabad",500038,"040 67872049",9640754300,,,esicmcbloodbank@gmail.com,
2270,"Venus Hospital Blood Bank",Telangana,HYDERABAD,Hyderabad,"H.No.16-2-661/EFGH, Judges Colony, Malakpet, Hyderabad",500036,"040 24650776",0,,,,
2271,"Yashoda Super Speciality Hospitals Blood Bank",Telangana,HYDERABAD,Hyderabad,"D.No. 6-3-903/A/4/F-3, 2nd floor, Shirdi Apartments,
Somajiguda",500082,"040 23319999",0,"040 67776753",,bloodbank_smj@yahoomail.com,http://www.yashodahospitals.com
2272,"Apollo Hospital Enterprises Ltd",Telangana,HYDERABAD,Hyderguda,"D.No.3/5/836 to 838, main road, hyderguda, hyderabad.
",500029,"040 23231380",9849694039,NA,NA,hydergudaapollobloodbank@gmail.com,
2273,"Lions Club Matadin Goel Blood Bank",Telangana,HYDERABAD,Hymayathnagar,"Blood Bank Medical Officer,  Lions Club Matadin Goel Blood Bank, Himayatnagar, Hyderabad,",500029,"040 23226624",9441114036,N/A,N/A,,
2274,"Chiranjeevi Blood Bank",Telangana,HYDERABAD,"Jublee Hills","Road No.1, Jubliee Hills checkpost",500033,"040 23555005, 040 23554849",9849691315,N/A,N/A,admin.ccfonline@gmail.com,
2275,"Owaisi Medical and Research Centre",Telangana,HYDERABAD,Kanchanbagh," Nawab Lutfud Dowli Palace,  Kanchanbagh, Zafargadh,Santoshnagar,Hyderabad
",500058,"040 64638871, 040 24343129, 040 24323723",0,"040 24349999","040 24342954",NA,http://www.owaisihospital.com
2276,"Apollo Hospital Enterprises Ltd, Apollo DRDO Hospital Blood Bank",Telangana,HYDERABAD,Kanchanbagh,"D.No.18-14, Ground Floor, DMRL X Roads, Kanchanbagh, Hyderabad",0,"040 24342222",0,,,,
2277,"Kamineni Health Services Pvt.Ltd. Blood Bank",Telangana,HYDERABAD,Kingkoti,"D.No. 4-1-1227, Cellar Portion, Boggulakunta, Kingkoti, Hyderguda, Hyderabad District, Telangana
",500001,"040 66924030, 040 66924444",0,NA,NA,bloodbank.kk@kaminenihospitals.com,
2278,"The Government  Maternity Hospital",Telangana,HYDERABAD,Koti,"Blood bank,  Sultan Bazar, Koti, Hyderabad",500095,"040 23305967",9849488601,N/A,N/A,nandagopalgollapuda@yahoo.com,
2279,"Global Hospital Blood Bank",Telangana,HYDERABAD,Lakdikapool,"D.No.6-1-1070/1 to 4, Lakdikapool",500004,"040 23244444, 040 30644444",0,NA,NA,NA,
2280,"Sri Balaji Blood Bank (A Unit of Sri Balaji Educational Society)",Telangana,HYDERABAD,Malakpet,"Cellar Portion, 16-8-923, Nalgonda X Road, Malakpet, Hyderabad",500036,"040 64522466",0,NA,NA,sribalajibloodbank2009@gmail.com,
2281,"Vivekananda Environmental International Society Social Service Blood Bank",Telangana,HYDERABAD,Mehdipatnam,"12-2-790/53/1, Ground and First Floor, Ayodhyanagar, Mehdipatnam",0,"040 64606048",0,,,,
2282,"Premier Hospital Blood Bank",Telangana,HYDERABAD,Mehdipatnam,"12-2-718, Nanal Nagar X Roads, Mehdipatnam, Hyderabad",500028,"040 23774469",0,NA,NA,nooravenu@gmail.com,
2283,"Jaya Diagnostic Research Centre Medwin Hospital Blood Bank",Telangana,HYDERABAD,Nampally,"6th Floor, 100, Raghava Ratna Towers, D.No. 5-8-316 to 322, Chiragali Lane, Nampally",500001,"040 66516502",0,,,,
2284,"Care Hospital Blood Bank (A Unit of Quality Care India Limited)",Telangana,HYDERABAD,Nampally,"Third Floor, 5-4-199, 3rd Floor, J.N. Road, Nampally",0,"040 30417445",0,,,,
2285,"Institute of Preventive Medicine",Telangana,HYDERABAD,"Narayana guda","Public Health Laboratories and Food (Health) Administration, Narayanaguda, Hyderabad",500029,"040 27557733",9849905227,N/A,N/A,"ipmbbank@gmail.com ",
2286,"M G M H BLOOD BANK (Government Modern Maternity Hospital)",Telangana,HYDERABAD,Petlaburj,"Government Modern Maternity Hospital, Opp City College, Petlaburz, Hyderabad
",500035,"040 24523641",7207613965," 040 24523641 ","040 24656909","mgmhpetlaburz@gmail.com, mgmhbloodbank@gmail.com",
2287,"Rakshita Voluntary Blood Bank",Telangana,HYDERABAD,Putlibowli," H.No.5-1-931, First Floor, Jambagh, Putlibowli",500096,"040 65263309",9849540078,NA,NA,rakshitavoluntarybloodbank79@gmail.com,
2288,"The Govt. Niloufer Hospital Blood Bank",Telangana,HYDERABAD,"Red Hills","Premises of Government Niloufer Hospital, Red Hills, Nampally
",500004,"040 23314075, Ext : 287",0,NA,NA,bloodbankniloufer@gmail.com,http://www.nilouferhospital.com
2289,"Health, Agriculture, Rural Development Society (HARD)  Blood Bank",Telangana,HYDERABAD,"Red Hills","No.11-5-263/3, Red Hills, Hyderabad",500004,"040 23300859, 040 23300959",0,NA,NA,hardsbloodbank@gmail.com,
2290,"The ESI Hospital Blood Bank",Telangana,HYDERABAD,Sanathnagar," ESI Hospital premises, Ground Floor, Sanathnagar",500018,"040 23701232, 040 23701233",9848021446,N/A,N/A,"esibb038@gmail.com,musthafasd@yahoo.com",
2291,"St. Theresa&#39;s Hospital Blood Bank",Telangana,HYDERABAD,Sanathnagar,"Erragadda, Sanath Nagar, Hyderabad",500018,"040 23802255, 040 23812288",9949496496,NA,NA,sttheresasbloodbank@gmail.com,http://www.sttheresasbloodbank.org
2292,"Gandhi Hospital Blood Bank",Telangana,HYDERABAD,Secunderabad,"1st Floor, A block, Musheerabad, Secunderabad, Telangana
",500003,"040 27505566",9848250147,NA,NA,gandhihospitalbloodbank@yahoo.com,
2293,"Lions Club of Secunderabad Twin Cities",Telangana,HYDERABAD,Secunderabad,"2nd Floor, Varalaxmi Complex, Opposite Stay Inn Hotel, James Street, M.G.Road, Secunderabad",500003,"040 32411317",9581227272,N/A,N/A,lionsclubsecbadbloodbank@gmail.com,
2294,"Yashoda Hospital (A Unit of Datta Chandra Hospital Pvt. Ltd.)  Blood Bank",Telangana,HYDERABAD,Secunderabad," 1-1-156/157, 9th Floor, Alexander Road, Secunderabad, Telangana
",500003,"040 23319999, 040 24555555, 040 27713333",8096940111,"040 67778918","040 27703999",dr.aparnasharma@yashodamail.com,http://www.yashodahospital.com
2295,"South Central Railway Hospital",Telangana,HYDERABAD,Secunderabad,"Lalaguda, Secunderabad",500017,"040 27789173",0,,,,
2296,"Andrha Pradesh State Road Transport Corporation Hospital Blood Bank",Telangana,HYDERABAD,Secunderabad,"Ground Floor, Room.No. 18&19, APSRTC Hospital Pemises, Tarnaka, Secunderabad",0,"040 27018691, 040 27003695",0,,,,
2297,"Vivekananda Environmental International Society Social Service Blood Bank",Telangana,HYDERABAD,Secunderabad,"H.No.9-1-127/D/1, Opposite St.Mary&#39;s Church, S.D.Road, Secunderabad",500062,"040 64505032",9247973842,NA,NA,vivekanandabloodbank@gmail.com,
2298,"Janani Voluntary Blood Bank (A Unit of Janani Organization)",Telangana,HYDERABAD,Secunderabad," D.No.9-1-66/3, 2nd Floor, Lane Opposite Oriental Bank, S.D.Road, Secunderabad",500003,"040 65603222",0,NA,NA,info@jananivoluntary.org,
2299,"Military Hospital Blood Bank",Telangana,HYDERABAD,Secunderabad,"Military Hospital premises Trimulgherry, Secunderabad",0,"040 27886559",0,,,,
2300,"Krishna Institute of Medical Sciences Blood Bank",Telangana,HYDERABAD,Secunderabad,"D.No.1-8-31/1, Block-III, 2nd Floor, Minister Road, Secretariat, Secunderabad
",500003,"040 44186253 , 040 44186255",0,"040 44885000","040 27840980",info@kimshopitals.com,http://www.kimshospitals.com
2301,"Jeevadhara Voluntary Blood Bank (A Unit of Jeevadhaara Society)",Telangana,HYDERABAD,Secunderabad,"H.No.9-4-269 to 275, Saluja Hospital, Second Floor, Rezimental Bazar, Secunderabad",500025,"040 65996696, 040 27707088",0,NA,NA,jeevadharabloodbank@gmail.com,
2302,"Sunshine Hospital Blood Bank",Telangana,HYDERABAD,Secunderabad,"No.1-7-201- to 205, II Floor, P.G.Road, Behind Paradise  Hotel,  Secunderabad",500003,"040 64643345, 040 43444546",0,NA,NA,sunshinebloodbank@gmail.com,
2303,"Sri Devi Charitable Trust Blood Bank",Telangana,HYDERABAD,Secunderabad,"D. No.: 12-13-197, Flat No. 106 & 107, Opposite HUDA Complex, Tarnaka, Secunderabad",500007,"040 27016016",9247546406,NA,NA,nadhu7454@gmail.com,
2304,"Princess Esra Hospital Blood Bank",Telangana,HYDERABAD,"Shah Ali Banda","Second Floor, 23-2-665, Shah Ali Banda",500065,"040 65875989",0,NA,NA,kamal273p@gmail.com,
2305,"Asian Institute of Gastroentrology Blood Bank",Telangana,HYDERABAD,Somajiguda,"6-3-661, Somajiguda, Hyderabad",0,"040 23378888",0,,,,
2306,"RTC Hospital",Telangana,HYDERABAD,Tarnaka,"RTC Hospital Blood Bank, Tarnaka, Hyderabad",500017,040-27018691,8008204060,N/A,N/A,NA,
2307,"Indian Red Cross Society Blood Bank",Telangana,HYDERABAD,Vidhyanagar,"1-9-310, Street No:14, Opposite Achyutha Reddy Complex,  Vidya Nagar Hyderabad
",500044,"040 27633087",9701103085,NA,NA,redcross_bloodbank@yahoo.com,http://www.ircstelangana.org
2308,"Chalmeda Ananda Rao Institute of Medical Sciences Blood Bank",Telangana,KARIMNAGAR,Bommakal,"Block C, Ground Floor, Bommakal (V), Karimnagar",505001,"0878 2285565, 0878 2285318",9491398688,,"0878 2285318",caimsbloodbank@gmail.com,"http://www.caims.in/,http://caims.org/"
2309,"Singareni Collieries Co.Ltd Blood Bank",Telangana,KARIMNAGAR,Godavarikhani,"Area Hospital Blood Bank, Ram Mandir, Godavarikhani",505209,08728-244362,9440471197,8728244361,,med_rg1@scclmines.com,
2310,"Nelavelly Blood Bank",Telangana,KARIMNAGAR,Jagtial,"(A Unit Of Nelavelly Laxma Rao Social Service Charitable Trust)
Door No:7-1-236, Santoshnagar, Opposite SKNR Women Degree College",505327,8724230333,9246157433,,,nelavelly@gmail.com,
2311,"Indian Red Cross Society Jagityal, Blood Bank",Telangana,KARIMNAGAR,JAGTIAL,"District Headquarters Hospital JAGTIAL 
First Floor, Old Bus Stand",505327,9441290111,9440026445,,,rch2bloodbankahjagtial@gmail.com,
2312,"Government District Head Quarters Hospital Blood Bank",Telangana,KARIMNAGAR,Karimnagar,"Savaran Street, Manchiryal Chowrastha",505001,"0878 2240223, 0878 2240337",9959444925,,,bloodbankdhknr@gmail.com,
2313,"Indian Red Cross Society Blood Bank",Telangana,KARIMNAGAR,"Karimnagar ","D.No.4-1-22, Osmanpura, 
Opp to Andhra Bank Main Branch",505001,"0878 6451199",9440488234,,,redcrossknr2007@gmail.com,
2314,"Life Care Voluntary Blood Bank",Telangana,KARIMNAGAR,"Karimnagar ","D.No.3-1-446, 1st Floor, Opposite Government Hospital, Prashanth Nagar",505001,,9441038039,,,lifecarebloodbank@gmail.com,
2315,"Prathima Institute of Medical Sciences Blood Bank",Telangana,KARIMNAGAR,Nagnur,"1st Floor, Hospital Building, Nagnur",505417,"0878 2216500, 08782216555, 08782216380/81",9948652670,7093066617,"0878 2216400",pimsbbknr@gmail.com,http://www.prathimaeducation.org/
2316,"Apollo Reach Hospitals - Apollo Blood Bank",Telangana,KARIMNAGAR,"Subhash Nagar","H.No.4-72, 3rd Floor, Subhash Nagar, 
Near Railway station
",505001,"0878 2200000",9959243300,,,apolloreachhospitals.bloodbank@gmail.com,https://www.apollohospitals.com/locations/apollo-reach-hospitals
2317,"The Government Area Hospital Blood Bank",Telangana,KHAMMAM,Bhadrachalam,"Bhadrachalam, Bhadradri Kothagudem",507111,,9347563589,N/A,N/A,bloodbank.bcm@gmail.com,
2318,"The APVVP District Head Quarters Hospital Blood Bank",Telangana,KHAMMAM,Khammam,"1st Floor, Room.No.31, O.P. Block, Wyra Road, Khammam",507001,"08742 224815",9963075123,N/A,N/A,dapcukhammam@gmail.com,
2319,"Rudhira Voluntary Blood Bank",Telangana,KHAMMAM,Khammam,"(A Unit of Rudhira Health Organization), H.No.11-4-25/A, 1st & 2nd Floor, Wyra Road, Khammam",507101,"08742 220666",0,NA,NA,rudhira.voluntary@gmail.com,
2320,"Mamata General Hospital Blood Bank",Telangana,KHAMMAM,Khammam,"D. No: 5-7-200, Giriprasad Nagar Pakabanda Bazar, Khammam",0,"08742 230864",0,,,,
2321,"Siva Multi Speciality Hospital Blood Bank",Telangana,KHAMMAM,Khammam,"H.No.11-2-44, Balaji Nagar, Wyra Road, Khammam",507001,"08742 231883",0,NA,NA,sivabloodbank@gmail.com,
2322,"The Government Area Hospital Blood Bank",Telangana,KHAMMAM,Kothagudem,"Kothagudem, Khammam",507101,,8008204232,N/A,N/A,dapcukhammam@gmail.com,
2323,"The Singareni Collieries  Co. Ltd",Telangana,KHAMMAM,Kothagudem,"Hospital Blood Bank, Main Hospital, Kothagudem, Khammam",507101,N/A,9491145226,N/A,N/A,dapcukhammam@gmail.com,
2324,"Sarala Blood Bank ",Telangana,KHAMMAM,Kothagudem,"A Unit of Sarala Memorial Charitable Chartitable Trust, D.No. 5-13-7, 2nd Floor, M.G. Road, Kothagudem, Khammam",507101,NA,9393667032,NA,NA,venkateswarluv03@gmail.com,
2325,"Singareni Collieries Co. Ltd",Telangana,KHAMMAM,Manuguru,"Blood Bank Medical Officer,  Blood Bank, Singareni Collieries Co. Ltd, Manuguru, Dist. Khammam, Mobile no:9491145024",507117,N/A,9866803810,N/A,N/A,,
2326,"Asha Emergency & Chest Hospital Blood Bank",Telangana,KHAMMAM,Sattupally,"D. No.: 4-851/1, Opposite Bus Stand, Kalabharathi Road, Sattupally, Khammam
",507303,8790276999,9391281010,NA,NA,ashabloodbanksathupalli@gmail.com,
2327,"Singareni Collieries Co. Ltd",Telangana,KHAMMAM,Yellandu,"Singareni Collieries Co. Ltd Blood Bank, Yellandu, District Khammam.",507101,N/A,9491145024,N/A,N/A,njyothichandra@gmail.com,
2328,"Indian Red Cross Society ",Telangana,MAHBUBNAGAR,Gadwal,"Blood Bank, Area Hospital, Gadwal, Mahaboobnagar",509125,"08546 271757",9014871177,NA,NA,ircsrch2bloodbankgadwal@gmail.com,
2329,"Government District Head Quarters Hospital Blood Bank",Telangana,MAHBUBNAGAR,Mahaboobnagar,"Ground Floor, Mahaboobnagar",509001,N/A,9440635240,N/A,N/A,mbnrbbdh@gmail.com,
2330,"Indian Red Cross Society Blood Bank",Telangana,MAHBUBNAGAR,Mahabubnagar,"Ground & First Floor,D.No.1-6-65/5/A,1-6-65/5/A, Modern High School Chourastha",509001,"08542 223225,08542 246225 ",9866465799,,,redcross.bloodbank@gmail.com,
2331,"IRCS & RCH-II  Blood Bank District Hospital Wanaparthy ",Telangana,MAHBUBNAGAR,"WANAPARTHY ","Blood Bank, District Hospital,Wanaparthy, WANAPARTHY",509103,"08545 230133",9949236778,N/A,N/A,ircsbloodbankwanaparthy@gmail.com,
2332,"SVS Medical College Hospital Blood Bank",Telangana,MAHBUBNAGAR,Yenugonda,"Blood Bank, Ist Floor, Yenugonda, Mahaboobnagar",0,9958758150,9951173547,,,,
2333,"Maheshwara Medical College and Maheshwara Hospital Blood Bank",Telangana,MEDAK,"Patancheru Mandal","1st floor, Maheshwara Hospital Building, Isnapur Cross Road, Chitkul Village, Patancheru Mandal, Medak",502307,NA,7032888434,NA,NA,maheshwaramedicalcollege@gmail.com,
2334,"Bharat Heavy Electricals Limited Hospital ",Telangana,MEDAK,Ramachandrapuram,"Blood Bank, Ramachandrapuram, Medak",502032,"040 23184386",9440214361,N/A,N/A,nandagopalgollapudi@yahoo.com,
2335,"The APVVP District Head Quarters Hospital",Telangana,MEDAK,Sangareddy,"Blood Bank, Sangareddy, Medak",502001,N/A,9346783440,N/A,N/A,govtbloodbankdh.sangareddy@gmail.com,
2336,"M.N.R. Medical College Hospital",Telangana,MEDAK,Sangareddy,"Blood Bank, Fasalwadi, Narsapur Road, Sangareddy, Medak",0,,9989568066,,,,
2337,"Indian Red Cross Society",Telangana,MEDAK,Siddipet,"Blood Bank, Area Hospital Premises, Siddipet,  Medak",502103,NA,9440037038,NA,NA,bbircssdpt@gmail.com,
